Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,25-34,Male,4-13 nights,4402.904,27268.976,4072500.51,6
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,25-34,Female,1-3 nights,668.492,2005.476,1146463.78,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,25-34,Female,4-13 nights,5238.645,31876.239,6445712.652,4
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,35-44,Male,4-13 nights,9258.297,65494.959,9097235.72,9
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,35-44,Female,4-13 nights,5321.528,37937.576,4369377.918,6
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,45-54,Male,4-13 nights,10114.279,69530.373,9242144.523,12
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,45-54,Male,14-27 nights,1173.934,16435.076,1311284.278,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,45-54,Female,4-13 nights,13535.655,94749.585,11403696.99,8
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,55-64,Male,4-13 nights,11123.634,78552.318,10442038.42,10
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,55-64,Female,1-3 nights,517.563,1552.689,68835.879,1
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,55-64,Female,4-13 nights,4339.847,30378.929,4957354.211,5
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,65 & over,Male,4-13 nights,3700.555,25579.736,3589654.626,5
2017,Jan-Mar,UK residents,Air,Austria,Holiday,Non-Independent,65 & over,Female,4-13 nights,771.373,3856.865,1025926.09,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,25-34,Male,14-27 nights,628.778,10689.226,691655.8,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,25-34,Female,1-3 nights,5052.494,10104.988,998781.526,2
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,35-44,Male,1-3 nights,771.373,771.373,308549.2,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,35-44,Female,4-13 nights,503.67,3525.69,125917.5,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,45-54,Male,1-3 nights,2397.138,4794.276,817424.058,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,45-54,Male,4-13 nights,1394.224,5576.896,191008.688,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,45-54,Male,14-27 nights,1265.983,17723.762,2025572.8,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,55-64,Male,1-3 nights,746.479,746.479,179154.96,1
2017,Jan-Mar,UK residents,Air,Austria,Business,Independent,55-64,Male,4-13 nights,1143.186,12575.046,628752.3,1
2017,Jan-Mar,UK residents,Air,Austria,VFR,Independent,25-34,Male,4-13 nights,2442.619,16069.96,259043.13,2
2017,Jan-Mar,UK residents,Air,Austria,VFR,Independent,25-34,Female,1-3 nights,1020.973,3062.919,435955.471,1
2017,Jan-Mar,UK residents,Air,Austria,VFR,Independent,25-34,Female,4-13 nights,6618.389,35623.911,3584844.285,2
2017,Jan-Mar,UK residents,Air,Austria,VFR,Independent,35-44,Female,1-3 nights,686.88,1373.76,223236,1
2017,Jan-Mar,UK residents,Air,Austria,VFR,Independent,65 & over,Male,1-3 nights,1671.246,5013.738,386057.826,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,16-24,Male,4-13 nights,4213.546,18960.957,1912949.884,2
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,16-24,Female,1-3 nights,952.828,2858.484,262027.7,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,16-24,Female,4-13 nights,1904.912,7619.648,1333438.4,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,25-34,Female,1-3 nights,1143.186,3429.558,571593,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,25-34,Female,4-13 nights,952.828,3811.312,381131.2,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Independent,35-44,Male,1-3 nights,1020.973,2041.946,204194.6,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Non-Independent, 0-15,Male,4-13 nights,1173.934,8217.538,375658.88,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Non-Independent,16-24,Female,1-3 nights,1173.934,2347.868,243004.338,1
2017,Jan-Mar,UK residents,Air,Belgium,Holiday,Non-Independent,25-34,Male,1-3 nights,1143.186,3429.558,280080.57,1
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,25-34,Male,1-3 nights,2782.821,6442.807,1940733.956,2
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,25-34,Male,4-13 nights,1143.186,5715.93,1460991.708,1
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,25-34,Female,1-3 nights,628.778,1257.556,212526.964,1
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,35-44,Male,1-3 nights,1905.656,2858.484,543111.96,2
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,35-44,Female,1-3 nights,7757.589,15392.965,3223985.489,5
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,45-54,Male,1-3 nights,2864.916,3824.176,879508.132,3
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,45-54,Male,4-13 nights,1020.505,4082.02,871511.27,1
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,45-54,Female,1-3 nights,1546.68,4640.04,928008,1
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,55-64,Male,Nil Stay,2973.179,0,0,2
2017,Jan-Mar,UK residents,Air,Belgium,Business,Independent,55-64,Male,1-3 nights,2668.862,4384.896,1172544.6,2
2017,Jan-Mar,UK residents,Air,Belgium,Business,Non-Independent,35-44,Male,14-27 nights,1829.993,27449.895,2538200.291,1
2017,Jan-Mar,UK residents,Air,Belgium,Business,Non-Independent,35-44,Female,1-3 nights,1143.186,3429.558,973994.472,1
2017,Jan-Mar,UK residents,Air,Belgium,VFR,Independent, 0-15,Female,4-13 nights,3419.494,17097.47,37614.434,1
2017,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,16-24,Female,28-90 nights,952.828,35254.636,325867.176,1
2017,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,25-34,Male,1-3 nights,1020.973,2041.946,261369.088,1
2017,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,25-34,Female,1-3 nights,1020.973,3062.919,0,1
2017,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,55-64,Female,1-3 nights,3663.292,7326.584,468901.376,1
2017,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,55-64,Female,4-13 nights,4971.556,33492.628,627989.64,2
2017,Jan-Mar,UK residents,Air,Belgium,VFR,Independent,65 & over,Male,4-13 nights,1020.973,5104.865,0,1
2017,Jan-Mar,UK residents,Air,Belgium,Miscellaneous,Independent,16-24,Female,1-3 nights,1095.522,1095.522,158850.69,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent, 0-15,Male,4-13 nights,557.105,3899.735,111421,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent, 0-15,Female,4-13 nights,1020.973,9188.757,548262.501,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,16-24,Male,4-13 nights,776.156,5433.092,333747.08,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,16-24,Female,1-3 nights,1671.246,5013.738,548168.688,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,16-24,Female,4-13 nights,557.105,2785.525,93036.535,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,16-24,Female,14-27 nights,598.257,13161.654,149564.25,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,25-34,Male,4-13 nights,5312.447,28061.969,2636893.288,5
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,25-34,Male,28-90 nights,746.479,21647.891,343380.34,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,25-34,Female,1-3 nights,1183.784,2367.568,325540.6,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,35-44,Male,4-13 nights,1671.246,15041.214,1671246,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,35-44,Male,14-27 nights,5352.406,74933.684,1338101.5,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,45-54,Male,14-27 nights,924.767,18495.34,3699068,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,45-54,Female,4-13 nights,1373.76,9616.32,919045.44,2
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,55-64,Male,1-3 nights,1336.984,3342.46,267396.8,2
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Independent,65 & over,Male,4-13 nights,2598.736,18191.152,194905.2,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Non-Independent, 0-15,Male,4-13 nights,1143.186,8002.302,746500.458,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Non-Independent, 0-15,Female,1-3 nights,1143.186,2286.372,171477.9,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Non-Independent,25-34,Male,1-3 nights,1143.186,3429.558,460703.958,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Non-Independent,25-34,Male,4-13 nights,5867.859,41075.013,8021155.623,2
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Non-Independent,35-44,Male,4-13 nights,4383.854,25350.296,2656277.498,2
2017,Jan-Mar,UK residents,Air,Bulgaria,Holiday,Non-Independent,35-44,Female,4-13 nights,2740.817,19185.719,1185604.641,3
2017,Jan-Mar,UK residents,Air,Bulgaria,Business,Independent,25-34,Female,4-13 nights,515.453,3608.171,309271.8,1
2017,Jan-Mar,UK residents,Air,Bulgaria,Business,Independent,35-44,Male,1-3 nights,924.767,2774.301,462383.5,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent, 0-15,Female,Nil Stay,1143.186,0,571593,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,16-24,Male,14-27 nights,924.767,18495.34,1849534,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,16-24,Female,4-13 nights,776.156,7761.56,194039,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,16-24,Female,14-27 nights,1143.186,28579.65,0,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,16-24,Female,3-6 months,2598.736,345631.888,6917835.232,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,25-34,Male,1-3 nights,2035.577,6106.731,1017788.5,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,25-34,Male,4-13 nights,3710.188,34149.291,974341.35,3
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,25-34,Male,14-27 nights,952.828,19056.56,381131.2,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,25-34,Female,4-13 nights,5530.919,43646.961,2290509.81,5
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,25-34,Female,14-27 nights,6145.316,86034.424,1647406.9,4
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,35-44,Male,4-13 nights,3523.503,27263.257,912599.48,2
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,35-44,Male,14-27 nights,4344.261,63593.955,2521670.698,2
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,35-44,Male,28-90 nights,1143.186,33152.394,1143186,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,35-44,Female,4-13 nights,6613.375,56629.109,3488509.85,5
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,35-44,Female,14-27 nights,924.767,14796.272,462383.5,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,45-54,Male,1-3 nights,924.767,2774.301,277430.1,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,45-54,Male,14-27 nights,598.257,11965.14,628169.85,1
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,45-54,Female,4-13 nights,6098.885,31987.383,1015528.22,2
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,55-64,Male,14-27 nights,1671.246,23397.444,629508.1,2
2017,Jan-Mar,UK residents,Air,Bulgaria,VFR,Independent,55-64,Female,14-27 nights,952.828,15245.248,571696.8,1
2017,Jan-Mar,UK residents,Air,Croatia,Business,Independent,35-44,Male,4-13 nights,952.828,3811.312,405904.728,1
2017,Jan-Mar,UK residents,Air,Croatia,VFR,Independent,16-24,Male,28-90 nights,598.257,19742.481,0,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,16-24,Male,1-3 nights,5681.102,14584.705,1841575.69,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,16-24,Male,4-13 nights,1143.186,4572.744,228637.2,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,16-24,Female,Nil Stay,924.767,0,184953.4,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,16-24,Female,4-13 nights,6598.257,32098.894,3825105.3,3
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,25-34,Male,1-3 nights,1983.777,5110.74,696842.835,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,25-34,Male,4-13 nights,8564.994,37679.798,4780398.92,5
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,25-34,Female,1-3 nights,9076.611,20784.831,2180526.275,4
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,25-34,Female,4-13 nights,4800.256,24820.37,921608.292,3
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,35-44,Male,1-3 nights,3652.114,10956.342,3071964.215,3
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,35-44,Female,4-13 nights,2824.437,16341.501,1563547.26,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,45-54,Male,1-3 nights,3075.475,9226.425,813153.38,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,45-54,Male,4-13 nights,2041.01,11225.555,754153.195,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,55-64,Male,1-3 nights,792.014,2376.042,336605.95,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,65 & over,Male,1-3 nights,1020.505,3061.515,306151.5,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Independent,65 & over,Male,4-13 nights,1095.522,8764.176,1095522,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,16-24,Male,1-3 nights,311.785,623.57,20266.025,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,25-34,Male,1-3 nights,1127.78,2711.808,421706.688,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,25-34,Male,4-13 nights,981.191,3924.764,382664.49,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,25-34,Female,4-13 nights,1020.505,7143.535,289823.42,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,35-44,Male,1-3 nights,771.373,2314.119,185129.52,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,35-44,Female,1-3 nights,2685.995,8057.985,565863.859,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,45-54,Female,1-3 nights,1716.034,5148.102,327762.494,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,45-54,Female,4-13 nights,3306.877,13227.508,889566.93,3
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,55-64,Male,1-3 nights,311.785,623.57,21201.38,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Holiday,Non-Independent,55-64,Female,1-3 nights,1143.186,3429.558,270935.082,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,25-34,Male,1-3 nights,1260.533,3445.833,240439.42,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,25-34,Male,3-6 months,1020.505,182670.395,102050.5,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,35-44,Male,1-3 nights,311.785,623.57,124714,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,35-44,Male,4-13 nights,3124.168,19992.148,1405986.51,4
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,35-44,Male,14-27 nights,1716.034,27456.544,1510109.92,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,35-44,Female,4-13 nights,1058.264,10270.855,328572.175,2
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,45-54,Male,1-3 nights,311.785,311.785,78881.605,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,45-54,Male,14-27 nights,771.373,20827.071,1157059.5,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Business,Independent,55-64,Female,1-3 nights,946.06,2838.18,425727,1
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent, 0-15,Male,4-13 nights,3976.599,27836.193,2161619.506,2
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,16-24,Male,4-13 nights,2699.045,26779.072,1941112.812,3
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,16-24,Female,1-3 nights,2788.711,5577.422,0,1
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,16-24,Female,4-13 nights,3931.897,21443.518,310913.45,2
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,16-24,Female,14-27 nights,924.767,16645.806,277430.1,1
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,25-34,Male,4-13 nights,1265.983,5063.932,316495.75,1
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,25-34,Male,14-27 nights,4603.278,67997.244,1505954.7,2
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,25-34,Female,14-27 nights,1020.505,19389.595,204101,1
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,35-44,Male,4-13 nights,7201.94,43604.032,1615649.521,3
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,35-44,Female,1-3 nights,792.014,1584.028,279580.942,1
2017,Jan-Mar,UK residents,Air,Czech Republic,VFR,Independent,65 & over,Male,4-13 nights,1143.186,9145.488,571593,1
2017,Jan-Mar,UK residents,Air,Czech Republic,Miscellaneous,Independent,45-54,Female,4-13 nights,1020.505,5102.525,782727.335,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,16-24,Male,14-27 nights,1082.278,15151.892,273816.334,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,25-34,Male,4-13 nights,1634.335,11440.345,583457.595,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,25-34,Female,4-13 nights,681.829,4772.803,45682.543,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,35-44,Male,4-13 nights,3718.334,26028.338,2509875.45,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,35-44,Female,4-13 nights,1716.034,12012.238,815116.15,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,45-54,Female,1-3 nights,1888.565,5665.695,336164.57,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,45-54,Female,4-13 nights,2316.202,16213.414,868575.75,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,45-54,Female,14-27 nights,1716.034,24024.476,942102.666,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,55-64,Male,4-13 nights,4503.171,24085.529,1690117.066,2
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,55-64,Female,4-13 nights,4215.194,29506.358,2763744.988,3
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,55-64,Female,14-27 nights,784.837,10987.718,1177255.5,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,65 & over,Male,4-13 nights,784.837,7063.533,623160.578,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Independent,65 & over,Male,14-27 nights,3777.472,94436.8,377747.2,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent, 0-15,Male,4-13 nights,1082.278,7575.946,225113.824,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent, 0-15,Female,4-13 nights,1082.278,7575.946,321436.566,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,25-34,Female,4-13 nights,1506.443,10545.101,472706.459,2
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,55-64,Male,4-13 nights,3718.334,18591.67,739948.466,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,55-64,Male,28-90 nights,6665.529,279952.218,10831484.63,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,55-64,Female,4-13 nights,1082.278,7575.946,168835.368,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,65 & over,Male,4-13 nights,4514.346,31600.422,1055928.244,3
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,65 & over,Male,28-90 nights,1716.034,48048.952,2045512.528,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,65 & over,Female,4-13 nights,2437.64,17063.48,1527312.228,2
2017,Jan-Mar,UK residents,Air,Cyprus EU,Holiday,Non-Independent,65 & over,Female,14-27 nights,2500.871,47024.432,2547462.451,2
2017,Jan-Mar,UK residents,Air,Cyprus EU,Business,Independent,45-54,Female,1-3 nights,1768.75,3537.5,442187.5,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent, 0-15,Female,4-13 nights,508.856,3561.992,42235.048,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,16-24,Male,1-3 nights,4272.771,8545.542,427277.1,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,16-24,Male,4-13 nights,2004.388,14030.716,200438.8,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,16-24,Male,14-27 nights,4008.391,84176.211,0,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,35-44,Female,4-13 nights,1888.565,9442.825,113313.9,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,45-54,Female,4-13 nights,1716.034,12012.238,787659.606,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,45-54,Female,28-90 nights,1584.029,88705.624,668460.238,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,55-64,Male,1-3 nights,1634.335,4903.005,387337.395,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,55-64,Male,4-13 nights,681.829,2727.316,295231.957,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,55-64,Male,14-27 nights,2316.202,48640.242,231620.2,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,55-64,Female,28-90 nights,2057.533,57610.924,411506.6,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,65 & over,Male,4-13 nights,2004.388,14030.716,715566.516,1
2017,Jan-Mar,UK residents,Air,Cyprus EU,VFR,Independent,65 & over,Female,4-13 nights,721.606,5051.242,144321.2,1
2017,Jan-Mar,UK residents,Air,Cyprus Non EU,Holiday,Independent,45-54,Male,14-27 nights,1716.034,36036.714,571439.322,1
2017,Jan-Mar,UK residents,Air,Cyprus Non EU,Holiday,Non-Independent,65 & over,Female,14-27 nights,2179.538,30513.532,908963.314,2
2017,Jan-Mar,UK residents,Air,Cyprus Non EU,VFR,Independent,55-64,Female,4-13 nights,1634.335,9806.01,446173.455,1
2017,Jan-Mar,UK residents,Air,Denmark,Holiday,Independent, 0-15,Male,1-3 nights,4545.201,13635.603,737525.238,2
2017,Jan-Mar,UK residents,Air,Denmark,Holiday,Independent,16-24,Male,1-3 nights,4070.904,8141.808,753117.24,1
2017,Jan-Mar,UK residents,Air,Denmark,Holiday,Independent,16-24,Male,4-13 nights,1764.014,9247.1,122184.24,2
2017,Jan-Mar,UK residents,Air,Denmark,Holiday,Independent,16-24,Female,1-3 nights,5803.821,15375.886,1397990.882,5
